Population,Murder,Rape,Robbery,Aggravated Assault,Breaking & Entering,Larceny Theft,Motor Vehicle Theft,"Violent Crime Rate per 100,000 People"
123372.0,1.0,32.0,23.0,147.0,645.0,1941.0,137.0,164.5
623513.0,211.0,245.0,3740.0,4236.0,6966.0,18419.0,4504.0,1352.3
150771.0,2.0,33.0,56.0,190.0,676.0,2251.0,165.0,186.4
173062.0,11.0,38.0,105.0,416.0,1422.0,3225.0,317.0,329.4
56486.0,2.0,9.0,28.0,261.0,645.0,1283.0,175.0,531.1
23980.0,1.0,13.0,16.0,78.0,260.0,552.0,29.0,450.4
662025.0,32.0,192.0,1401.0,4580.0,11964.0,25811.0,3203.0,937.3
243718.0,4.0,41.0,113.0,448.0,625.0,3025.0,83.0,248.6
95644.0,1.0,24.0,45.0,290.0,415.0,1401.0,142.0,376.4
51942.0,1.0,7.0,28.0,212.0,423.0,1852.0,41.0,477.5
232717.0,3.0,34.0,205.0,486.0,692.0,3100.0,178.0,312.8
72516.0,2.0,9.0,27.0,356.0,757.0,1651.0,191.0,543.3
36544.0,1.0,3.0,8.0,49.0,215.0,643.0,57.0,166.9
765496.0,31.0,237.0,1728.0,4576.0,6246.0,21529.0,3297.0,858.5
74893.0,1.0,22.0,31.0,208.0,555.0,1631.0,93.0,349.8
27164.0,2.0,4.0,2.0,30.0,197.0,236.0,24.0,139.9
36985.0,2.0,7.0,6.0,172.0,247.0,500.0,30.0,505.6
575310.0,15.0,120.0,520.0,462.0,5766.0,16184.0,1739.0,194.2
788266.0,35.0,143.0,2090.0,3445.0,4812.0,18357.0,3463.0,724.8
95370.0,6.0,40.0,114.0,267.0,1343.0,3161.0,440.0,447.7
797794.0,20.0,126.0,1341.0,2862.0,4119.0,18129.0,1880.0,545.1
26926.0,1.0,6.0,5.0,89.0,216.0,293.0,38.0,375.1
24470.0,0.0,14.0,11.0,115.0,210.0,443.0,36.0,572.1
250706.0,6.0,64.0,165.0,376.0,674.0,2875.0,106.0,243.7
221305.0,9.0,35.0,181.0,527.0,872.0,2882.0,224.0,339.8
504601.0,17.0,94.0,754.0,2742.0,3191.0,13501.0,1484.0,714.8
114031.0,7.0,24.0,38.0,146.0,249.0,1194.0,86.0,188.5
22534.0,3.0,3.0,6.0,103.0,176.0,349.0,43.0,510.3
87133.0,2.0,15.0,26.0,188.0,343.0,1188.0,86.0,265.1
27972.0,1.0,10.0,5.0,117.0,198.0,458.0,40.0,475.5
621252.0,344.0,287.0,4378.0,4671.0,7803.0,18100.0,5541.0,1558.1
192284.0,6.0,43.0,135.0,404.0,1673.0,5545.0,935.0,305.8
25520.0,0.0,6.0,16.0,54.0,277.0,432.0,43.0,297.8
26491.0,2.0,6.0,6.0,34.0,260.0,416.0,22.0,181.2
70577.0,2.0,20.0,42.0,189.0,404.0,1182.0,57.0,358.5
748099.0,304.0,702.0,10793.0,7295.0,16394.0,40406.0,10618.0,2552.3
813307.0,13.0,160.0,1038.0,1075.0,4670.0,24449.0,3329.0,281.1
49804.0,0.0,8.0,42.0,221.0,439.0,1789.0,71.0,544.1
55035.0,3.0,11.0,23.0,78.0,548.0,969.0,82.0,209.0
184690.0,1.0,48.0,96.0,528.0,829.0,3013.0,213.0,364.4
116584.0,5.0,14.0,73.0,579.0,761.0,2597.0,141.0,575.6
71845.0,0.0,19.0,20.0,244.0,394.0,1624.0,78.0,393.9
26259.0,1.0,3.0,21.0,71.0,234.0,626.0,40.0,365.6
105411.0,4.0,12.0,40.0,267.0,486.0,1655.0,103.0,306.4
80901.0,3.0,23.0,51.0,260.0,541.0,1452.0,70.0,416.6
101533.0,2.0,11.0,44.0,247.0,519.0,1567.0,135.0,299.4
102522.0,2.0,20.0,63.0,221.0,331.0,1610.0,143.0,298.5
28420.0,2.0,17.0,11.0,88.0,190.0,405.0,28.0,415.2
101154.0,8.0,28.0,89.0,509.0,843.0,2707.0,457.0,626.8
32453.0,1.0,12.0,39.0,135.0,219.0,909.0,51.0,576.2
33693.0,1.0,13.0,21.0,91.0,342.0,633.0,42.0,374.0
910354.0,75.0,201.0,1211.0,1341.0,1696.0,12325.0,2714.0,310.6
49023.0,2.0,11.0,8.0,99.0,213.0,741.0,28.0,244.8
31147.0,0.0,9.0,43.0,122.0,229.0,840.0,77.0,558.6
124225.0,6.0,41.0,186.0,642.0,698.0,2906.0,464.0,704.4
822814.0,20.0,125.0,1511.0,2544.0,3949.0,18301.0,1463.0,510.4
75274.0,1.0,15.0,21.0,343.0,384.0,1591.0,102.0,504.8
251859.0,10.0,53.0,133.0,342.0,477.0,2290.0,84.0,213.6
943025.0,21.0,136.0,1192.0,882.0,3760.0,19678.0,2384.0,236.6
427239.0,16.0,131.0,462.0,1017.0,4329.0,12448.0,2197.0,380.6
32795.0,0.0,6.0,11.0,39.0,149.0,428.0,34.0,170.8
79936.0,4.0,42.0,158.0,436.0,868.0,2493.0,218.0,800.6
86000.0,1.0,9.0,21.0,115.0,535.0,1055.0,86.0,169.8
769456.0,26.0,220.0,1045.0,1281.0,5263.0,23538.0,3378.0,334.3
55740.0,3.0,11.0,34.0,119.0,572.0,1295.0,131.0,299.6
669127.0,76.0,375.0,2998.0,2257.0,12622.0,24061.0,4587.0,852.8
114891.0,6.0,18.0,59.0,214.0,788.0,1788.0,167.0,258.5
48890.0,0.0,6.0,17.0,73.0,187.0,490.0,21.0,196.4
29166.0,0.0,6.0,2.0,52.0,84.0,277.0,14.0,205.7
