population,murder,rape,robbery,Aggravated Assault,Breaking & Entering,larceny_theft,Motor Vehicle Theft,crime_level
149938,6,18,121,243,785,2153,166,0
106148,1,23,61,186,712,1841,133,0
82605,5,9,19,89,347,1412,67,0
38020,0,7,16,78,161,617,21,0
75799,6,30,62,153,608,1866,43,0
32578,0,6,36,108,188,763,19,1
16970,0,2,2,42,137,400,16,0
29765,0,14,14,174,291,608,56,1
155503,5,31,50,305,527,1948,135,0
80410,3,35,49,271,581,1424,70,1
199021,6,34,123,418,1207,3678,403,0
247842,7,37,166,293,1271,5574,486,0
23895,5,13,12,55,228,441,15,0
52191,1,31,39,163,189,1085,28,1
24139,3,16,16,90,235,450,31,1
32693,0,13,23,87,263,618,66,1
153629,6,40,104,280,1590,5147,823,0
138238,1,30,63,268,654,2251,170,0
28900,3,5,41,252,314,734,20,1
681068,32,207,1419,3995,8490,23534,3863,1
31533,1,9,26,146,252,678,30,1
914736,81,130,1252,1486,2715,13740,3154,0
322066,5,70,202,498,810,4342,357,0
87228,5,42,187,558,956,2454,198,1
28898,0,18,0,61,65,283,5,0
32432,4,8,35,85,200,829,58,1
211070,5,42,118,675,765,2969,240,1
48821,1,2,8,82,169,623,29,0
808499,21,222,1088,1190,4817,24307,3388,0
671586,28,176,1087,4900,8727,20884,2775,1
668705,34,150,1272,4627,8923,20994,2774,1
26409,1,7,25,68,268,420,12,1
81418,5,28,48,382,763,1657,126,1
64123,1,10,24,312,452,1029,51,1
79956,4,40,116,368,1041,2442,253,1
17842,1,7,3,42,126,328,31,0
826893,96,221,3324,2980,8219,22660,7266,1
87228,0,20,45,384,571,1771,186,1
103748,4,17,70,237,909,2073,138,0
55194,1,13,24,141,637,1046,144,0
27500,3,8,5,52,279,418,23,0
637556,276,139,4260,6196,7664,18846,6276,1
60743,4,15,34,136,939,1759,139,0
137032,5,43,127,345,1502,4752,453,1
651337,26,190,1223,4456,11793,25663,3287,1
729268,112,493,4033,3879,9989,24037,10199,1
42454,1,20,64,256,413,1989,112,1
47621,1,8,7,149,279,612,59,0
139251,3,36,117,340,1736,5178,676,0
19547,1,7,17,42,159,246,20,0
89083,2,13,35,136,515,1180,87,0
126632,1,33,61,121,744,2406,182,0
128820,6,31,119,366,709,2048,319,1
142320,4,33,198,611,756,3049,438,1
641097,269,162,3935,6943,7388,20132,6232,1
826987,33,348,878,2566,3258,11608,1354,1
57726,4,14,17,178,286,774,52,0
29715,5,7,30,157,271,645,53,1
19372,4,2,6,47,189,307,25,0
27475,3,7,12,54,184,411,37,0
29929,4,3,27,215,301,757,25,1
25914,0,5,19,97,269,679,44,1
110842,0,22,58,183,513,1625,73,0
100148,5,30,148,371,764,2490,108,1
112779,1,36,57,155,446,1391,76,0
376172,23,85,488,820,5105,12638,1276,1
625474,216,317,3635,4657,7796,17849,3987,1
309341,5,40,201,368,869,4629,231,0
143833,7,35,185,474,598,2862,272,1
28437,3,14,36,155,235,694,65,1
24948,2,4,23,48,246,528,28,0
1055918,18,370,460,912,1300,12397,1137,0
25115,0,10,12,102,123,387,29,1
101897,7,43,126,300,636,2587,96,1
91279,1,19,33,141,517,1401,114,0
323435,1,73,130,441,442,3855,255,0
83923,2,2,24,59,581,1384,73,0
88299,2,31,42,201,426,1331,75,0
