year,population,murder,rape,robbery,Aggravated Assault,Breaking & Entering,larceny_theft,Motor Vehicle Theft,grand_total,violent_crime_total,violent_crime_percent,property_crime_totals,property_crime_percent,overall_crime_rate_per_100_000_people,violent_crime_rate_per_100_000_people,property_crime_rate_per_100_000_people,murder_per_100_000_people,rape_per_100_000_people,robbery_per_100_000_people,agg_assault_per_100_000_people,b_e_per_100_000_people,larceny_theft_per_100_000_people,m_v_theft_per_100_000_people
1988,30621,1,10,36,159,384,774,47,1411,206,14.6,1205,85.4,4607.9,672.7,3935.2,3.3,32.7,117.6,519.3,1254.0,2527.7,153.5
2004,30317,1,0,2,52,100,320,16,491,55,11.2,436,88.8,1619.6,181.4,1438.1,3.3,0.0,6.6,171.5,329.8,1055.5,52.8
2003,91175,4,16,54,381,731,1777,200,3163,455,14.4,2708,85.6,3469.2,499.0,2970.1,4.4,17.5,59.2,417.9,801.8,1949.0,219.4
2005,35284,3,10,27,83,169,683,26,1001,123,12.3,878,87.7,2837.0,348.6,2488.4,8.5,28.3,76.5,235.2,479.0,1935.7,73.7
1980,80461,2,12,26,79,541,1706,108,2474,119,4.8,2355,95.2,3074.8,147.9,2926.9,2.5,14.9,32.3,98.2,672.4,2120.3,134.2
2009,172300,2,29,47,315,567,2055,102,3117,393,12.6,2724,87.4,1809.1,228.1,1581.0,1.2,16.8,27.3,182.8,329.1,1192.7,59.2
2017,29299,0,3,2,48,141,288,10,492,53,10.8,439,89.2,1679.2,180.9,1498.3,0.0,10.2,6.8,163.8,481.2,983.0,34.1
1987,764893,226,595,7485,6030,13558,31270,7495,66659,14336,21.5,52323,78.5,8714.8,1874.2,6840.6,29.5,77.8,978.6,788.3,1772.5,4088.2,979.9
1980,784554,216,566,10046,5805,17774,38116,5661,78184,16633,21.3,61551,78.7,9965.4,2120.1,7845.3,27.5,72.1,1280.5,739.9,2265.5,4858.3,721.6
1981,120387,5,34,103,314,1677,3933,415,6481,456,7.0,6025,93.0,5383.5,378.8,5004.7,4.2,28.2,85.6,260.8,1393.0,3267.0,344.7
2015,25626,0,17,10,56,115,239,11,448,83,18.5,365,81.5,1748.2,323.9,1424.3,0.0,66.3,39.0,218.5,448.8,932.6,42.9
2013,167529,4,30,33,275,542,1735,65,2684,342,12.7,2342,87.3,1602.1,204.1,1398.0,2.4,17.9,19.7,164.2,323.5,1035.6,38.8
1982,26962,0,5,2,44,213,345,35,644,51,7.9,593,92.1,2388.5,189.2,2199.4,0.0,18.5,7.4,163.2,790.0,1279.6,129.8
